graph,method,np-1,np-2,np-3,cln,ma
miserables,drgraph,0.112040857,0.341390285,0.771039115,0.488161499,0.345570404
,FR,0.360561608,0.627848829,0.884777221,0.757526417,0.359621653
,EM-FR-CTE,0.381589541,0.64929565,0.860335376,0.753619801,0.352649638
,PH,0.478977708,0.604692194,0.861805102,0.764084825,0.384624177
facebook,drgraph,0.25249828,0.469237056,0.679690193,0.574514745,0.19307227
,FR,0.311525564,0.550869706,0.706399982,0.625342048,0.200524761
,EM-FR-CTE,0.226711166,0.458532922,0.565953573,0.624504085,0.189862196
,PH,0.296924507,0.538166059,0.655564199,0.63385624,0.187150816
science,drgraph,0.357084683,0.474502175,0.607480096,0.894768308,0.108474092
,FR,0.250670728,0.418333513,0.583577958,0.88196571,0.114058606
,EM-FR-CTE,0.179965244,0.361183973,0.495942422,0.869430946,0.107191859
,PH,0.3382287,0.397812939,0.499881556,0.865624071,0.100692302
cora,drgraph,0.319891334,0.264628804,0.368279139,0.921407876,0.448293194
,graphtsne,0.39141782,0.234635658,0.301471034,0.880808598,0.405460715
,FR,0.114369393,0.123254668,0.216027057,0.871542647,0.439989435
,EM-FR-CTE,0.016048258,0.050906102,0.118307765,0.779245641,0.354450047
,PH,0.143288585,0.173017242,0.230238272,0.873630107,0.419346909
citeseer,drgraph,0.530069876,0.265985493,0.532971493,0.941160354,0.634167707
,graphtsne,0.177917737,0.081219999,0.155391214,0.682130116,0.527481582
,FR,0.304487485,0.138716858,0.35909463,0.891919324,0.636941802
,EM-FR-CTE,0.017681455,0.027937735,0.055126097,0.784257092,0.552899612
,PH,0.144821103,0.140018403,0.188846501,0.852316565,0.615333427
